player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Torey Richardson,76711,CB,TEMPLE,10,2,0,52.9,0,0,306,0,0,65.9,65.2,37.6,51.7,65.2,52.6,0,0,0,1,46,20.7,6,5,5,60.0,18,0,0,27,448,258,511,9,0,0,9,0,4,502,4,249,23,7,21,1,34,0,0,213,98,11.8
Tyler Brown,98070,G,COLORADO,1,0,0,,1,0,143,0,0,,29.9,68.2,,42.3,,0,0,0,0,,,0,0,3,0.0,0,0,0,0,0,0,3,3,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
Nate Temple,99726,ED,PITTSBURGH,2,0,0,,0,0,268,0,0,,56.0,75.6,54.9,58.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,28,28,0,0,28,0,0,0,14,14,0,0,0,0,0,0,0,0,0,
Latrell Jean,100703,DI,TEMPLE,12,5,0,,0,0,306,0,0,60.0,64.7,85.0,66.4,60.8,56.9,0,10,0,0,,18.2,4,0,0,0.0,0,1,0,1,0,0,428,427,66,320,0,41,0,1,201,227,0,12,13,3,0,11,0,0,0,
DeMonte Capehart,122144,DI,CLEMSON,10,6,2,,0,0,140,0,0,50.3,69.1,20.2,67.3,74.2,80.6,2,3,0,0,,0.0,0,0,2,0.0,0,0,0,0,0,0,233,233,45,177,0,11,0,0,121,112,0,10,16,1,0,5,0,0,0,
R.J. Mickens,122153,S,CLEMSON,12,13,0,69.2,0,0,140,0,0,89.1,86.6,86.4,57.7,73.5,72.0,2,1,0,2,26,13.3,10,5,0,57.1,18,0,0,275,10,383,664,3,0,0,3,0,293,661,12,269,83,24,52,5,26,3,1,103,49,5.7
Tyler Venables,122163,S,CLEMSON,9,2,0,83.3,0,0,140,0,0,63.4,60.1,0.0,53.9,60.2,61.4,0,1,0,0,40,18.8,3,1,1,158.3,5,0,0,63,1,100,161,2,0,0,2,0,74,159,6,55,21,5,11,1,6,1,1,79,35,15.8
Jason Moore,122491,DI,GA TECH,10,3,0,,0,0,176,0,0,,76.6,78.5,66.3,78.0,75.2,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,98,98,5,91,0,2,0,0,49,49,0,2,2,1,0,3,0,0,0,
Rashad Battle,123003,CB,PITTSBURGH,11,2,0,64.7,1,0,268,1,0,72.1,73.9,84.9,79.7,71.0,65.2,2,0,0,0,43,13.6,6,4,2,121.3,33,0,0,44,483,320,547,15,0,0,15,0,0,532,11,216,4,16,36,1,51,2,5,399,126,12.1
Anwar Sparrow,123054,LB,SYRACUSE,6,3,0,100.0,0,0,304,0,0,59.0,58.4,80.7,52.9,60.1,44.2,2,4,0,0,14,27.3,3,0,0,112.5,2,0,0,83,0,71,126,17,0,0,17,0,1,109,12,43,25,1,5,0,2,6,0,22,12,11.0
Wilfried Pene,123360,DI,VA TECH,12,9,1,,0,0,337,0,0,63.3,67.8,61.9,68.0,63.8,54.5,5,20,0,0,,15.4,4,0,1,0.0,0,1,0,0,0,0,400,400,15,360,14,11,0,0,233,167,0,12,13,4,0,26,0,0,0,
Nick Andersen,123370,S,WAKE,12,38,0,70.6,0,1,339,1,0,72.4,72.5,0.0,58.1,76.8,71.7,1,0,0,2,24,14.4,19,2,4,83.1,24,0,0,259,8,501,849,14,0,0,14,0,512,835,3,345,56,15,75,0,34,1,2,221,76,9.2
Wyatt Crespi,123381,DI,WAKE,8,0,0,,0,0,339,0,0,,63.8,77.4,57.6,65.6,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,72,72,5,56,1,10,0,0,33,39,0,1,1,0,0,0,0,0,0,
Tamon Lynum,129699,CB,PITTSBURGH,12,5,0,57.6,1,0,268,0,0,64.5,62.7,25.1,61.9,56.4,50.6,0,0,0,1,45,19.4,7,3,2,78.0,19,1,0,25,345,217,380,6,0,0,6,0,0,374,2,161,2,7,24,1,33,1,1,241,76,12.7
Cameron Martinez,129752,CB,BOSTON COL,9,4,0,79.2,1,0,121,1,0,49.2,54.4,85.4,67.9,70.9,65.5,0,0,0,1,36,15.4,4,0,2,106.9,19,1,0,18,3,130,227,7,0,0,7,0,1,220,6,91,198,5,18,1,24,1,1,252,131,13.3
Preston Hodge,131462,CB,COLORADO,9,7,0,60.6,1,0,143,0,0,58.6,56.4,89.4,53.2,47.1,28.2,0,1,0,2,54,25.5,12,4,4,90.5,43,0,0,54,26,324,584,10,0,0,10,0,1,574,2,258,493,14,28,0,71,1,4,527,304,12.3
Dion Wilson Jr.,131600,DI,SYRACUSE,4,5,0,,0,0,304,0,0,60.0,66.1,81.7,61.6,66.2,65.5,0,4,0,0,,9.1,1,0,0,0.0,0,0,0,0,0,0,141,141,91,50,0,0,0,0,85,56,0,2,5,1,0,4,0,0,0,
Ivan Yates,139049,CB,COLORADO,7,1,0,100.0,0,0,143,0,0,73.1,74.0,76.8,,69.2,82.1,0,0,0,0,5,0.0,0,0,0,83.3,2,0,0,7,19,17,48,2,0,0,2,0,0,46,0,31,20,2,4,0,2,0,0,8,2,4.0
James Jennette,142415,ED,VA TECH,1,0,0,,0,0,337,0,0,,64.8,73.8,64.0,60.0,73.0,1,0,0,0,,,0,0,0,0.0,0,1,0,0,0,0,8,8,0,0,8,0,0,0,6,2,0,1,0,0,0,2,0,0,0,
Josh Gholston,143282,S,VA TECH,1,0,0,,0,0,337,0,0,60.8,60.5,67.5,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Ty Clemons,143821,DI,BOSTON COL,7,0,0,,0,0,121,0,0,59.9,67.9,77.6,59.4,74.8,73.2,1,0,1,1,,0.0,0,0,0,0.0,0,0,0,0,0,1,57,57,2,36,12,7,0,0,41,15,0,2,2,1,0,1,0,0,0,
Donovan Ezeiruaku,143824,ED,BOSTON COL,12,16,0,,0,3,121,0,0,54.9,90.0,66.4,90.5,83.6,79.3,20,26,0,0,,8.1,5,0,2,0.0,0,14,0,39,0,35,766,721,0,0,719,2,0,45,429,302,6,42,41,6,0,60,0,0,0,
Quintayvious Hutchins,143827,ED,BOSTON COL,12,12,0,50.0,0,1,121,2,0,87.1,72.8,39.9,73.2,63.6,62.3,8,12,0,1,12,15.8,6,0,2,19.8,2,4,0,9,0,12,366,356,0,18,318,20,0,10,208,146,1,13,20,1,4,24,0,15,11,7.5
Owen McGowan,143832,LB,BOSTON COL,8,5,0,72.7,0,0,121,0,0,64.7,65.4,79.8,56.3,66.8,82.3,2,1,0,0,20,3.7,1,1,0,130.7,8,0,0,227,0,118,258,13,0,0,13,0,0,245,30,110,18,8,21,1,11,3,2,75,21,9.4
Bryce Steele,143838,LB,BOSTON COL,3,0,0,,0,0,121,0,0,72.0,72.6,75.0,57.5,67.6,77.4,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,33,0,18,38,4,0,0,4,0,0,34,3,17,1,2,3,0,0,1,0,0,0,
Owen Stoudmire,143839,DI,BOSTON COL,12,11,0,,0,0,121,0,0,55.3,57.1,61.3,52.8,64.1,59.4,1,6,0,0,,10.7,3,0,1,0.0,0,1,0,0,0,5,378,378,62,235,22,59,0,0,221,152,0,10,14,1,0,8,0,0,0,
Placide Djungu-Sungu,143851,S,DUKE,2,0,0,100.0,0,0,154,0,0,49.5,52.1,68.9,,60.2,,0,0,0,0,23,,0,0,0,118.8,1,0,0,1,0,5,10,0,0,0,0,0,7,10,0,5,1,0,0,0,1,0,0,23,2,23.0
Tre Freeman,143853,LB,DUKE,12,17,0,71.9,0,1,154,2,0,70.9,70.1,84.8,62.3,68.1,56.7,2,8,0,2,22,14.9,10,1,0,70.2,23,1,0,409,4,290,582,39,0,0,39,0,1,543,43,249,129,22,40,2,32,11,1,183,126,8.0
Sahmir Hagans,143854,WR,DUKE,1,0,0,,1,0,154,0,0,,60.2,73.9,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Aaron Hall,143855,DI,DUKE,12,15,2,,1,0,154,0,0,60.0,67.4,55.4,74.0,61.6,73.0,6,16,0,0,,8.3,3,0,2,0.0,0,2,0,0,0,0,557,557,15,515,1,26,0,0,278,279,0,16,18,3,0,24,0,0,0,
Nick Morris Jr.,143867,LB,DUKE,1,0,0,,0,0,154,0,0,62.9,75.2,73.2,72.2,72.5,75.8,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,21,0,11,21,0,0,0,0,0,0,21,0,10,0,1,1,1,0,1,0,0,0,
Daylon Gordon,143915,HB,GA TECH,1,0,0,,0,0,176,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Sean Brown,143986,LB,NC STATE,12,16,0,84.2,0,2,248,3,0,56.6,60.5,87.6,66.5,58.2,58.4,3,14,0,0,71,17.2,16,1,0,113.0,32,4,0,516,2,307,779,183,0,0,183,0,13,596,153,319,65,41,61,4,38,21,1,343,238,10.7
Caden Fordham,143992,LB,NC STATE,6,9,0,83.3,0,0,248,1,0,71.9,73.6,0.0,78.0,68.0,82.1,4,5,0,0,22,9.1,4,2,2,104.9,10,1,0,300,0,140,321,19,0,0,19,0,0,302,48,133,2,26,31,2,12,10,0,110,117,11.0
Travali Price,144002,ED,NC STATE,12,8,0,,0,0,248,0,0,66.0,62.4,67.5,57.5,63.5,60.9,5,13,0,0,,10.3,3,0,1,0.0,0,2,0,0,0,0,498,498,8,40,113,337,0,0,298,200,0,15,18,4,0,20,0,0,0,
Dylan Bennett,144014,LB,PITTSBURGH,2,0,0,,0,0,268,0,0,,62.1,60.0,,60.5,74.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,
Nick Lapi,144027,LB,PITTSBURGH,5,0,0,100.0,0,0,268,0,0,77.4,77.9,76.6,54.4,73.5,79.4,0,0,0,0,6,0.0,0,0,0,80.6,3,0,0,25,0,20,38,4,0,0,4,0,0,34,6,12,7,3,4,1,3,0,0,10,5,3.3
Javon McIntyre,144029,S,PITTSBURGH,12,13,0,66.7,0,0,268,1,0,60.1,65.5,86.7,63.2,74.5,70.1,1,0,0,0,53,14.3,8,3,1,113.0,28,0,0,257,0,287,527,2,0,0,2,0,93,525,1,239,174,13,35,2,42,1,3,318,140,11.4
Duce Chestnut,144040,S,SYRACUSE,12,18,0,52.2,0,1,304,0,0,75.5,73.4,89.0,73.7,65.4,53.3,1,3,0,1,42,19.7,15,5,1,67.7,12,1,0,244,9,382,661,47,0,0,47,0,273,614,14,265,88,24,43,3,23,5,1,142,48,11.8
Elijah Fuentes-Cundiff,144045,DI,SYRACUSE,9,5,0,,0,0,304,0,0,60.2,52.8,81.3,51.5,54.0,54.7,0,3,0,0,,11.8,2,0,0,0.0,0,0,0,0,0,1,189,189,15,121,25,28,0,0,99,89,0,6,10,0,0,3,0,0,0,
Derek McDonald,144059,LB,SYRACUSE,11,12,0,81.8,0,1,304,0,0,69.4,65.3,81.3,59.9,60.7,56.6,2,1,0,0,20,16.9,10,0,0,103.0,18,0,0,265,1,164,355,32,0,1,30,1,0,323,24,167,57,18,37,1,22,3,1,112,84,6.2
Chase Simmons,144067,ED,SYRACUSE,11,4,0,,1,0,304,0,0,66.0,54.5,14.0,55.4,55.5,41.2,1,3,0,0,,22.2,4,0,3,0.0,0,0,0,0,0,0,301,301,0,3,244,54,0,0,150,151,0,9,10,2,0,4,0,0,0,
Miles Ellis,144075,CB,VA TECH,1,0,0,,0,0,337,0,0,61.2,62.0,67.3,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Will Johnson,144083,LB,VA TECH,1,1,0,,0,0,337,0,0,,70.9,69.2,,68.7,76.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,5,0,0,1,0,0,0,0,0,0,
Jaden Keller,144086,LB,VA TECH,12,15,1,73.7,0,0,337,2,0,55.9,58.0,44.3,68.1,58.3,66.5,3,9,0,0,41,12.5,10,0,1,99.2,14,0,0,461,3,231,502,3,0,0,3,0,2,499,38,233,32,25,55,2,19,12,0,163,123,11.6
Jayden McDonald,144092,LB,VA TECH,2,0,0,,0,0,337,0,0,,67.2,70.0,,64.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,0,4,1,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,
Jorden McDonald,144093,ED,VA TECH,2,1,0,,0,0,337,0,0,,65.0,75.7,63.8,62.6,73.0,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,20,20,0,3,17,0,0,0,8,12,0,0,0,0,0,1,0,0,0,
Cade Denhoff,144114,ED,CLEMSON,13,6,0,50.0,0,0,140,1,0,48.9,55.6,61.7,57.5,57.6,54.4,0,9,0,0,12,23.1,3,0,1,68.8,1,2,0,0,0,10,327,327,2,0,297,28,0,0,179,138,0,4,4,1,2,11,0,12,3,12.0
Armon Mason,144124,ED,CLEMSON,9,1,0,,0,0,140,0,0,62.1,69.1,81.6,67.7,65.2,78.6,3,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,4,104,104,0,1,95,8,0,0,54,46,0,6,6,3,0,8,0,0,0,
Zaire Patterson,144132,ED,CLEMSON,5,0,0,,0,0,140,0,0,60.0,60.1,76.1,54.0,65.0,71.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,26,26,4,6,16,0,0,0,16,9,0,1,1,0,0,0,0,0,0,
Jackson Hamilton,144157,LB,GA TECH,10,5,0,70.6,0,0,176,1,0,49.2,53.7,26.3,50.0,64.7,74.0,0,0,0,0,21,7.4,2,0,1,87.1,12,0,0,191,2,137,269,39,0,0,39,0,2,230,24,108,35,10,20,0,17,0,0,107,75,8.9
Anthony Borriello,144180,S,WAKE,1,0,0,,0,0,339,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Quincy Bryant,144181,LB,WAKE,12,15,0,76.5,0,2,339,0,0,86.8,84.7,81.7,72.1,78.3,63.3,1,5,0,1,16,13.8,8,0,0,62.9,13,0,0,288,0,175,363,35,0,0,35,0,0,328,25,163,40,20,35,4,17,6,0,88,66,6.8
Dylan Hazen,144192,LB,WAKE,12,23,0,83.6,0,0,339,1,0,57.7,69.8,54.2,71.9,80.3,75.7,3,7,0,1,33,9.3,8,0,1,93.8,46,1,0,566,4,364,667,17,0,0,17,0,1,650,33,270,79,25,55,5,55,11,0,458,246,10.0
Zach Lohavichan,144196,DI,WAKE,11,4,1,,0,0,339,0,0,60.0,66.4,83.8,59.8,68.0,68.5,0,5,0,0,,7.1,1,0,0,0.0,0,1,0,1,0,0,335,334,87,232,0,15,0,1,181,154,0,9,9,1,0,6,0,0,0,
BJ Williams,144214,ED,WAKE,12,11,0,,0,0,339,2,0,71.8,69.6,86.3,57.0,72.5,86.9,2,3,0,0,,0.0,0,0,0,0.0,0,1,0,4,0,27,351,339,0,13,258,68,0,12,164,160,8,12,16,1,0,6,0,0,0,
Omar Daniels,144605,S,GA TECH,11,9,0,69.2,0,0,176,0,0,59.0,64.0,85.3,55.0,76.6,66.0,0,0,0,0,22,13.2,7,3,1,112.2,18,0,0,174,3,253,438,29,0,0,29,0,90,409,19,166,141,11,37,3,26,0,2,167,104,9.3
Kelvin Gilliam Jr.,144637,DI,VA TECH,12,12,0,,0,0,337,0,0,70.0,68.5,83.9,61.1,68.5,65.9,3,13,0,0,,9.7,3,0,0,0.0,0,2,0,0,0,0,389,389,26,354,1,8,0,0,204,185,0,12,16,2,0,18,0,0,0,
Sedarius McConnell,144822,DI,BOSTON COL,11,4,0,,0,0,121,0,0,62.4,56.1,53.2,49.1,64.3,70.8,0,6,0,0,,5.9,1,0,1,0.0,0,0,0,1,0,3,282,281,2,197,45,37,0,1,182,97,0,9,12,1,0,6,0,0,0,
George Rooks,144941,DI,BOSTON COL,12,9,1,100.0,0,0,121,1,0,56.7,51.0,83.6,52.9,51.3,81.5,3,5,0,0,10,0.0,0,0,0,108.3,1,0,0,0,0,2,412,412,17,296,18,81,0,0,252,158,0,5,10,0,1,8,0,10,6,10.0
Jordan van den Berg,145085,DI,GA TECH,12,4,0,,0,0,176,2,0,68.7,75.0,84.0,65.6,76.8,52.9,4,6,0,0,,9.5,2,0,0,0.0,0,1,0,1,0,2,348,345,59,278,1,7,0,3,216,130,1,12,15,5,0,11,0,0,0,
Austin Dean,145145,LB,GA TECH,1,0,0,,0,0,176,0,0,47.1,29.7,0.0,59.3,43.1,37.7,0,0,0,0,,50.0,1,0,2,0.0,0,0,0,11,0,6,16,3,0,0,3,0,0,13,2,8,2,1,1,0,0,0,0,0,0,
Cam'Ron Stewart,145151,ED,TEMPLE,6,2,0,,0,0,306,0,0,60.0,68.1,82.8,60.0,69.8,52.4,3,7,0,0,,14.3,3,0,0,0.0,0,1,0,0,0,0,164,164,0,3,143,18,0,0,63,101,0,13,16,5,0,11,0,0,0,
Chazz Wallace,145384,DI,NC STATE,4,2,0,,0,0,248,0,0,,64.8,78.7,56.2,67.0,74.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,55,55,52,3,0,0,0,0,23,32,0,2,2,1,0,0,0,0,0,
Louis Frye,145850,S,TEMPLE,10,3,0,62.5,0,0,306,0,0,70.8,70.8,81.7,57.1,69.2,61.3,0,0,0,0,16,10.5,2,1,0,113.0,5,0,0,124,1,135,246,1,0,0,1,0,87,245,3,108,33,4,14,0,8,0,1,37,18,7.4
Anquin Barnes Jr.,146615,DI,COLORADO,11,3,1,,1,0,143,0,0,45.6,47.5,0.0,57.5,56.9,46.9,0,0,0,0,,15.4,2,0,6,0.0,0,0,0,2,0,1,198,196,87,108,1,0,0,2,79,118,0,5,8,0,0,0,0,0,0,
Ahmari Harvey,146674,CB,GA TECH,12,4,0,55.2,1,1,176,1,0,67.9,70.7,85.6,,78.4,60.3,0,0,0,1,57,14.7,10,4,2,82.0,32,0,0,52,586,407,669,12,0,0,12,0,1,657,0,262,17,16,54,2,58,0,2,413,141,12.9
Derrick Davis Jr.,146794,HB,PITTSBURGH,1,0,0,,0,0,268,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Arden Walker,146893,ED,COLORADO,12,5,0,100.0,0,1,143,0,0,52.0,80.5,63.5,89.9,67.2,68.4,3,16,0,0,19,9.7,3,0,1,118.8,2,5,0,0,0,2,343,342,0,5,330,7,0,1,187,154,1,21,23,2,2,24,0,36,28,18.0
Amari McNeill,146950,DI,COLORADO,11,8,0,,0,1,143,0,0,59.1,60.2,43.6,69.5,53.5,47.2,2,13,0,0,,13.8,4,0,2,0.0,0,3,0,0,0,0,441,441,15,339,4,83,0,0,251,190,0,14,17,4,0,18,0,0,0,
Andreas Keaton,150011,S,TEMPLE,12,18,0,72.0,0,0,306,1,0,64.0,65.5,88.1,82.4,62.5,75.7,1,1,0,1,45,12.3,9,3,0,128.2,18,0,0,325,2,375,753,15,0,0,15,0,303,738,8,370,108,10,46,0,25,2,3,259,96,14.4
Jeremiah Brown,150923,LB,COLORADO,3,2,0,,0,0,143,0,0,50.2,53.3,75.5,55.9,61.3,79.8,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,29,1,13,42,6,0,0,6,0,0,36,8,21,6,1,2,0,0,1,0,0,0,
Ben Finneseth,154599,S,COLORADO,3,0,0,,0,0,143,0,0,61.6,62.4,67.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,3,8,0,0,0,0,0,6,8,0,5,0,0,0,0,0,0,0,0,0,
Tristan Marois,155288,ED,COLORADO,3,0,0,,0,0,143,0,0,,40.1,73.9,56.3,42.2,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,11,11,0,0,11,0,0,0,3,8,0,0,0,0,0,1,0,0,0,
Amari Jackson,156221,CB,BOSTON COL,6,4,1,60.7,0,0,121,0,0,66.5,68.5,82.2,67.1,71.7,54.0,0,0,0,1,19,21.4,6,3,0,66.4,17,0,0,28,275,176,314,1,0,0,1,0,1,313,5,133,9,6,18,0,28,0,0,192,50,11.3
Edwin Kolenge,156222,ED,BOSTON COL,6,0,0,,0,0,121,0,0,60.2,70.6,80.5,66.9,68.7,27.0,0,2,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,2,54,53,0,0,51,2,0,1,30,22,1,0,0,0,0,2,0,0,0,
Caden Story,156229,DI,CLEMSON,8,1,0,,0,0,140,0,0,,54.1,77.0,56.1,53.9,30.0,1,0,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,55,55,4,37,12,2,0,0,35,20,0,1,2,0,0,1,0,0,0,
Jahiem Lawson,156235,ED,CLEMSON,13,8,0,,1,0,140,1,0,69.8,64.3,38.6,66.8,59.0,57.7,6,8,0,0,,15.8,3,0,2,0.0,0,2,0,0,0,13,341,338,0,5,306,27,0,3,193,135,3,8,8,2,0,16,0,0,0,
Wade Woodaz,156237,LB,CLEMSON,11,12,0,71.4,0,3,140,0,0,78.5,73.1,87.7,60.2,67.6,39.8,4,15,0,1,20,18.1,13,4,0,64.4,20,2,0,442,2,297,633,98,0,0,98,0,1,535,79,257,90,30,47,5,28,21,0,119,109,6.0
Kobe McCloud,156240,LB,CLEMSON,2,0,0,100.0,0,0,140,0,0,34.5,42.4,73.5,60.0,71.2,74.3,0,0,0,0,24,0.0,0,0,0,118.8,2,0,0,18,1,10,20,0,0,0,0,0,0,20,1,9,1,0,1,0,2,0,0,43,44,21.5
Kylon Griffin,156244,S,CLEMSON,12,4,0,50.0,0,0,140,0,0,66.0,63.1,84.0,58.9,54.2,66.2,0,1,0,1,23,15.6,5,1,1,42.2,8,0,0,132,1,217,365,1,0,0,1,0,179,364,1,147,52,2,23,0,16,1,0,94,75,11.8
Jeadyn Lukus,156247,CB,CLEMSON,13,2,0,56.8,0,0,140,0,0,73.3,69.7,0.0,56.6,58.1,68.3,0,0,0,1,43,14.7,5,6,4,71.8,21,0,0,29,454,277,502,5,0,0,5,0,2,497,3,222,12,7,27,1,37,0,1,219,110,10.4
Vincent Anthony Jr.,156256,ED,DUKE,11,5,3,100.0,1,0,154,0,0,77.0,68.1,19.2,69.5,63.7,75.3,6,20,0,0,4,9.5,2,0,4,79.2,2,6,0,2,0,18,453,451,2,2,441,6,0,2,255,180,0,18,14,2,2,32,0,4,2,2.0
Chandler Rivers,156257,CB,DUKE,12,17,0,50.0,0,2,154,1,0,89.7,90.6,88.1,91.3,76.4,75.0,3,5,1,3,30,11.7,7,5,1,60.8,25,2,0,60,626,446,855,21,0,0,21,0,16,834,29,380,132,15,36,5,50,10,3,264,114,10.6
Terry Moore,156258,S,DUKE,12,9,0,56.3,0,2,154,0,0,88.9,90.0,54.2,82.0,84.0,64.6,1,0,0,3,72,15.7,13,5,2,46.6,18,1,0,169,13,400,732,22,0,0,22,0,374,710,13,319,153,24,61,6,32,2,1,202,165,11.2
Rodney Shelley,156300,CB,GA TECH,11,3,0,65.7,0,0,176,0,0,71.5,71.5,86.1,62.6,66.1,43.9,1,0,0,0,53,24.1,7,3,1,113.6,23,0,0,34,182,276,442,6,0,0,6,0,0,436,5,161,220,9,19,5,35,1,2,317,138,13.8
K.J. Miles,156302,DI,TEMPLE,11,11,0,,0,0,306,0,0,,50.0,81.8,64.6,43.3,66.7,2,3,0,0,,5.0,1,0,0,0.0,0,0,0,0,0,0,207,207,36,139,0,32,0,0,83,124,0,6,8,0,0,5,0,0,0,
Clayton Powell-Lee,156305,S,GA TECH,12,17,0,62.1,1,0,176,1,0,58.4,63.4,87.0,58.4,73.6,59.8,0,3,0,0,21,16.9,11,2,1,89.0,18,1,0,245,4,379,632,25,0,0,25,0,190,607,19,234,167,14,37,0,29,4,1,165,138,9.2
Kyle Efford,156306,LB,GA TECH,10,16,0,90.9,0,0,176,0,0,67.5,66.5,42.9,68.3,61.8,77.3,3,5,0,0,20,7.6,5,1,2,115.5,20,4,0,382,0,225,435,36,0,0,36,0,6,399,47,163,11,30,45,2,22,12,1,178,95,8.9
Tawfiq Thomas,156312,DI,COLORADO,12,3,0,,0,0,143,0,0,60.9,58.2,0.0,66.5,57.2,67.5,1,4,0,0,,7.7,1,0,3,0.0,0,1,0,1,0,0,207,206,4,185,0,17,0,1,110,97,0,7,9,2,0,6,0,0,0,
Sean FitzSimmons,156358,DI,PITTSBURGH,8,9,0,,0,0,268,0,0,60.9,71.7,81.9,60.9,74.3,78.8,4,2,0,0,,2.7,1,0,0,0.0,0,0,0,0,0,0,285,285,7,272,0,6,0,0,143,142,0,21,27,3,0,6,0,0,0,
Samuel Okunlola,156361,ED,COLORADO,12,5,0,,1,0,143,0,0,60.4,67.0,29.5,68.4,66.3,82.1,4,15,0,0,,3.8,1,0,3,0.0,0,4,0,1,0,3,421,420,0,1,410,9,0,1,229,189,0,16,20,3,0,23,0,0,0,
Nick James,156413,DI,PITTSBURGH,11,6,0,,0,0,268,0,0,62.5,63.3,83.7,60.2,61.9,72.8,0,2,0,0,,5.0,1,0,0,0.0,0,1,0,0,0,0,354,354,22,331,0,1,0,0,166,188,0,12,13,3,0,3,0,0,0,
Jalil Martin,156472,S,SYRACUSE,2,0,0,100.0,0,0,304,0,0,65.5,67.1,72.3,,60.0,74.8,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,1,0,5,6,0,0,0,0,0,0,6,0,1,5,0,1,0,1,0,0,6,0,6.0
Javier Morton,156475,S,TEMPLE,11,9,0,79.2,0,0,306,0,0,58.9,63.4,24.9,60.0,71.9,90.2,0,0,0,1,53,5.4,3,3,1,141.0,19,0,0,204,8,160,375,1,0,0,1,0,90,374,1,214,72,14,44,0,24,0,3,303,109,15.9
Jaylen Wester,156530,LB,COLORADO,7,4,0,60.0,0,1,143,0,0,70.6,62.4,0.0,66.4,56.3,34.3,0,0,0,0,7,31.6,6,1,1,64.6,3,1,0,44,0,25,72,12,0,0,12,0,1,60,4,43,15,5,9,0,5,1,0,15,15,5.0
Terrell Foster,157075,LB,GEORGIA,3,1,0,100.0,0,0,173,0,0,56.9,59.5,72.3,59.7,64.1,49.3,0,0,0,0,12,33.3,1,0,0,116.7,1,0,0,15,0,11,21,1,0,0,1,0,0,20,1,9,5,0,1,0,1,0,0,12,5,12.0
JaCorey Thomas,157078,S,GEORGIA,8,1,0,60.0,0,0,173,0,0,61.5,55.8,81.6,47.1,44.5,27.5,0,1,0,0,11,50.0,4,2,1,67.1,3,0,0,19,1,66,114,9,0,0,9,0,3,105,6,42,82,0,3,0,5,1,0,18,31,6.0
